"","x","y","cell","Grass","TBDT","TNDT","TNET"
"198",-19000,1358000,5039,0,0,0,0
"277",-11000,1358000,5040,0,0,0,0
"356",-3000,1358000,5041,0,0,0,0
"435",5000,1358000,5042,0,0,0,0
"514",13000,1358000,5043,0,0,0,0
"592",21000,1358000,5044,0,0,0,0
"670",29000,1358000,5045,0,14.1016799619714,0,0
"749",37000,1358000,5046,0,33.3775446191398,0,0
"828",45000,1358000,5047,0,74.5442704102711,0,0
"907",53000,1358000,5048,0,11.9210575572829,0,0
"986",61000,1358000,5049,0,0.160601783604304,0,0
"1064",69000,1358000,5050,0,2.20815285255646,0,0
"1142",77000,1358000,5051,0,12.4535679370553,0,0
"1220",85000,1358000,5052,0,11.4323378484153,0,0
"1299",93000,1358000,5053,0,42.9555301702417,0,0
"1378",101000,1358000,5054,0,90.3731877517094,27.1139834942405,12.0966246605231
"1457",109000,1358000,5055,0,19.5005296654104,134.899778377421,22.5352038894077
"1533",117000,1358000,5056,0,11.8092342165465,182.016400507401,65.8280888422243
"1609",125000,1358000,5057,0,0,232.143431185681,73.0168144665117
"1685",133000,1358000,5058,0,3.96497185983306,183.404922753726,87.1495606758225
"1765",141000,1358000,5059,0,0,88.613411255103,4.54474299241333
"1846",149000,1358000,5060,0,6.63989415492372,37.0820217687199,48.7637494962713
"1928",157000,1358000,5061,0,0.118754539487128,55.14477830635,43.6342204263023
"2009",165000,1358000,5062,0,0.65851802621043,53.4227395120589,45.0925684709931
"2085",173000,1358000,5063,0,0,81.1829659791835,153.907240688147
"2159",181000,1358000,5064,0,14.4736060250471,312.91177115507,86.7570597084597
"2233",189000,1358000,5065,0,7.61618122050556,137.331457356334,174.066667499492
"2306",197000,1358000,5066,0,31.6338347657784,172.346906569226,104.844186479597
"2377",205000,1358000,5067,0,40.594711597247,233.443233035945,132.651414399838
"2451",213000,1358000,5068,0,22.9147801613655,198.318506221929,134.026653230614
"2525",221000,1358000,5069,0,72.5539349068933,75.4321854283045,138.130913264196
"2598",229000,1358000,5070,0,56.6492199701735,40.3201994185847,274.130723418127
"2670",237000,1358000,5071,0,81.1805234679221,23.3737442202473,197.306541786883
"2742",245000,1358000,5072,0,75.6160865626413,24.6132814767143,172.663098224618
"2814",253000,1358000,5073,0,32.8980462203895,72.7432739144492,137.370996792697
"2886",261000,1358000,5074,0,49.6545730124294,5.44123548004799,125.520711615235
"2958",269000,1358000,5075,0,25.2298679807672,32.1463019385038,114.912545826637
"3031",277000,1358000,5076,0,40.055033531708,10.1622050596754,84.4730720328423
"3104",285000,1358000,5077,0,36.4793367232712,7.27493646321211,130.292155449133
"3177",293000,1358000,5078,0,78.7868919456951,21.3949896721425,133.983502379711
"3249",301000,1358000,5079,0,24.2941839064029,3.81927979015575,162.790463458004
"3321",309000,1358000,5080,0,71.4359726040237,14.1809049283422,200.170947427502
