"x","y","cell","plots"
229000,1342000,5662,73
237000,1342000,5663,73
245000,1342000,5664,74
253000,1342000,5665,77
261000,1342000,5666,76
269000,1342000,5667,73
277000,1342000,5668,69
285000,1342000,5669,74
293000,1342000,5670,82
301000,1342000,5671,74
309000,1342000,5672,73
317000,1342000,5673,55
325000,1342000,5674,4
333000,1342000,5675,46
341000,1342000,5676,58
349000,1342000,5677,30
-19000,1334000,5927,59
-11000,1334000,5928,73
-3000,1334000,5929,72
5000,1334000,5930,76
13000,1334000,5931,72
21000,1334000,5932,72
29000,1334000,5933,69
37000,1334000,5934,73
45000,1334000,5935,65
53000,1334000,5936,58
61000,1334000,5937,68
69000,1334000,5938,68
77000,1334000,5939,82
85000,1334000,5940,50
93000,1334000,5941,48
101000,1334000,5942,39
109000,1334000,5943,12
133000,1334000,5946,18
141000,1334000,5947,36
149000,1334000,5948,68
157000,1334000,5949,73
165000,1334000,5950,80
173000,1334000,5951,75
181000,1334000,5952,72
189000,1334000,5953,71
197000,1334000,5954,72
205000,1334000,5955,74
213000,1334000,5956,70
221000,1334000,5957,74
229000,1334000,5958,72
237000,1334000,5959,72
245000,1334000,5960,70
253000,1334000,5961,68
261000,1334000,5962,74
269000,1334000,5963,68
277000,1334000,5964,72
285000,1334000,5965,72
293000,1334000,5966,75
301000,1334000,5967,72
309000,1334000,5968,75
317000,1334000,5969,69
325000,1334000,5970,49
333000,1334000,5971,60
341000,1334000,5972,66
349000,1334000,5973,54
357000,1334000,5974,13
-19000,1326000,6223,41
-11000,1326000,6224,73
-3000,1326000,6225,73
5000,1326000,6226,73
13000,1326000,6227,71
21000,1326000,6228,72
29000,1326000,6229,69
37000,1326000,6230,66
45000,1326000,6231,71
53000,1326000,6232,71
61000,1326000,6233,73
69000,1326000,6234,71
77000,1326000,6235,57
85000,1326000,6236,34
93000,1326000,6237,32
101000,1326000,6238,71
109000,1326000,6239,12
141000,1326000,6243,4
149000,1326000,6244,71
157000,1326000,6245,70
165000,1326000,6246,72
173000,1326000,6247,81
181000,1326000,6248,76
189000,1326000,6249,73
197000,1326000,6250,75
205000,1326000,6251,72
213000,1326000,6252,71
221000,1326000,6253,81
229000,1326000,6254,76
237000,1326000,6255,78
245000,1326000,6256,70
253000,1326000,6257,71
261000,1326000,6258,68
269000,1326000,6259,48
277000,1326000,6260,73
285000,1326000,6261,68
293000,1326000,6262,70
301000,1326000,6263,71
309000,1326000,6264,74
317000,1326000,6265,74
325000,1326000,6266,70
333000,1326000,6267,72
341000,1326000,6268,74
349000,1326000,6269,68
357000,1326000,6270,61
365000,1326000,6271,37
373000,1326000,6272,10
429000,1326000,6279,1
437000,1326000,6280,8
-19000,1318000,6519,26
-11000,1318000,6520,63
-3000,1318000,6521,68
5000,1318000,6522,71
13000,1318000,6523,72
21000,1318000,6524,67
29000,1318000,6525,62
37000,1318000,6526,71
45000,1318000,6527,75
53000,1318000,6528,74
61000,1318000,6529,72
69000,1318000,6530,55
77000,1318000,6531,55
85000,1318000,6532,58
93000,1318000,6533,63
101000,1318000,6534,68
109000,1318000,6535,63
117000,1318000,6536,61
125000,1318000,6537,63
133000,1318000,6538,60
141000,1318000,6539,53
149000,1318000,6540,73
157000,1318000,6541,71
165000,1318000,6542,74
173000,1318000,6543,72
181000,1318000,6544,72
189000,1318000,6545,74
197000,1318000,6546,72
205000,1318000,6547,73
213000,1318000,6548,74
221000,1318000,6549,78
229000,1318000,6550,72
237000,1318000,6551,70
245000,1318000,6552,70
253000,1318000,6553,70
261000,1318000,6554,79
269000,1318000,6555,76
277000,1318000,6556,63
285000,1318000,6557,44
293000,1318000,6558,70
301000,1318000,6559,71
309000,1318000,6560,73
317000,1318000,6561,71
325000,1318000,6562,71
333000,1318000,6563,76
341000,1318000,6564,74
349000,1318000,6565,68
357000,1318000,6566,71
365000,1318000,6567,70
373000,1318000,6568,31
413000,1318000,6573,10
421000,1318000,6574,45
429000,1318000,6575,50
437000,1318000,6576,30
-19000,1310000,6815,21
-11000,1310000,6816,49
-3000,1310000,6817,37
5000,1310000,6818,70
13000,1310000,6819,76
21000,1310000,6820,69
29000,1310000,6821,60
37000,1310000,6822,58
45000,1310000,6823,55
53000,1310000,6824,62
61000,1310000,6825,62
69000,1310000,6826,68
77000,1310000,6827,72
85000,1310000,6828,63
93000,1310000,6829,69
101000,1310000,6830,68
109000,1310000,6831,61
117000,1310000,6832,65
125000,1310000,6833,66
133000,1310000,6834,72
141000,1310000,6835,72
149000,1310000,6836,72
157000,1310000,6837,70
165000,1310000,6838,79
173000,1310000,6839,60
181000,1310000,6840,52
189000,1310000,6841,76
197000,1310000,6842,78
205000,1310000,6843,73
213000,1310000,6844,88
221000,1310000,6845,77
229000,1310000,6846,75
237000,1310000,6847,73
245000,1310000,6848,81
253000,1310000,6849,70
261000,1310000,6850,76
269000,1310000,6851,86
277000,1310000,6852,73
285000,1310000,6853,66
293000,1310000,6854,70
301000,1310000,6855,62
309000,1310000,6856,74
317000,1310000,6857,71
325000,1310000,6858,68
333000,1310000,6859,74
341000,1310000,6860,67
349000,1310000,6861,58
357000,1310000,6862,68
365000,1310000,6863,56
373000,1310000,6864,45
381000,1310000,6865,23
389000,1310000,6866,19
397000,1310000,6867,23
405000,1310000,6868,22
413000,1310000,6869,48
421000,1310000,6870,63
429000,1310000,6871,54
437000,1310000,6872,67
445000,1310000,6873,3
453000,1310000,6874,10
-19000,1302000,7111,29
-11000,1302000,7112,59
-3000,1302000,7113,38
5000,1302000,7114,57
13000,1302000,7115,69
21000,1302000,7116,73
29000,1302000,7117,67
37000,1302000,7118,64
45000,1302000,7119,59
53000,1302000,7120,64
61000,1302000,7121,70
69000,1302000,7122,61
77000,1302000,7123,81
85000,1302000,7124,69
93000,1302000,7125,63
101000,1302000,7126,68
109000,1302000,7127,82
117000,1302000,7128,71
125000,1302000,7129,56
133000,1302000,7130,61
141000,1302000,7131,71
149000,1302000,7132,64
157000,1302000,7133,69
165000,1302000,7134,77
173000,1302000,7135,75
181000,1302000,7136,72
189000,1302000,7137,74
197000,1302000,7138,72
205000,1302000,7139,74
213000,1302000,7140,88
221000,1302000,7141,74
229000,1302000,7142,64
237000,1302000,7143,60
245000,1302000,7144,67
253000,1302000,7145,74
261000,1302000,7146,78
269000,1302000,7147,76
277000,1302000,7148,68
285000,1302000,7149,71
293000,1302000,7150,73
301000,1302000,7151,70
309000,1302000,7152,73
317000,1302000,7153,61
325000,1302000,7154,47
333000,1302000,7155,66
341000,1302000,7156,64
349000,1302000,7157,62
357000,1302000,7158,63
365000,1302000,7159,77
373000,1302000,7160,69
381000,1302000,7161,60
389000,1302000,7162,59
397000,1302000,7163,64
405000,1302000,7164,58
413000,1302000,7165,63
421000,1302000,7166,61
429000,1302000,7167,61
437000,1302000,7168,67
445000,1302000,7169,58
453000,1302000,7170,57
461000,1302000,7171,55
469000,1302000,7172,54
477000,1302000,7173,48
485000,1302000,7174,42
493000,1302000,7175,32
-19000,1294000,7407,31
-11000,1294000,7408,60
-3000,1294000,7409,10
5000,1294000,7410,73
13000,1294000,7411,78
21000,1294000,7412,78
29000,1294000,7413,74
37000,1294000,7414,70
45000,1294000,7415,68
53000,1294000,7416,72
61000,1294000,7417,66
69000,1294000,7418,62
77000,1294000,7419,77
85000,1294000,7420,54
93000,1294000,7421,71
101000,1294000,7422,68
109000,1294000,7423,70
117000,1294000,7424,69
125000,1294000,7425,65
133000,1294000,7426,54
141000,1294000,7427,61
149000,1294000,7428,67
157000,1294000,7429,71
165000,1294000,7430,77
173000,1294000,7431,74
181000,1294000,7432,71
189000,1294000,7433,75
197000,1294000,7434,67
205000,1294000,7435,70
213000,1294000,7436,83
221000,1294000,7437,80
229000,1294000,7438,71
237000,1294000,7439,67
245000,1294000,7440,69
253000,1294000,7441,74
261000,1294000,7442,78
269000,1294000,7443,77
277000,1294000,7444,59
285000,1294000,7445,68
293000,1294000,7446,72
301000,1294000,7447,74
309000,1294000,7448,67
317000,1294000,7449,46
325000,1294000,7450,29
333000,1294000,7451,58
341000,1294000,7452,70
349000,1294000,7453,68
357000,1294000,7454,72
365000,1294000,7455,66
373000,1294000,7456,68
381000,1294000,7457,59
389000,1294000,7458,64
397000,1294000,7459,69
405000,1294000,7460,71
413000,1294000,7461,65
421000,1294000,7462,70
429000,1294000,7463,64
437000,1294000,7464,60
445000,1294000,7465,59
453000,1294000,7466,55
461000,1294000,7467,61
469000,1294000,7468,68
477000,1294000,7469,71
485000,1294000,7470,58
493000,1294000,7471,57
501000,1294000,7472,24
509000,1294000,7473,7
517000,1294000,7474,14
525000,1294000,7475,4
-19000,1286000,7703,32
-11000,1286000,7704,47
-3000,1286000,7705,56
5000,1286000,7706,72
13000,1286000,7707,73
21000,1286000,7708,74
29000,1286000,7709,71
37000,1286000,7710,70
45000,1286000,7711,70
53000,1286000,7712,72
61000,1286000,7713,59
69000,1286000,7714,62
77000,1286000,7715,74
85000,1286000,7716,71
93000,1286000,7717,68
101000,1286000,7718,73
109000,1286000,7719,78
117000,1286000,7720,74
125000,1286000,7721,70
133000,1286000,7722,58
141000,1286000,7723,61
149000,1286000,7724,70
157000,1286000,7725,70
165000,1286000,7726,66
173000,1286000,7727,67
181000,1286000,7728,59
189000,1286000,7729,57
197000,1286000,7730,55
205000,1286000,7731,64
213000,1286000,7732,73
221000,1286000,7733,58
229000,1286000,7734,64
237000,1286000,7735,68
245000,1286000,7736,66
253000,1286000,7737,72
261000,1286000,7738,82
269000,1286000,7739,79
277000,1286000,7740,79
285000,1286000,7741,78
293000,1286000,7742,71
301000,1286000,7743,73
309000,1286000,7744,71
317000,1286000,7745,68
325000,1286000,7746,59
333000,1286000,7747,70
341000,1286000,7748,62
349000,1286000,7749,64
357000,1286000,7750,70
365000,1286000,7751,72
373000,1286000,7752,71
381000,1286000,7753,64
389000,1286000,7754,68
397000,1286000,7755,72
405000,1286000,7756,75
413000,1286000,7757,75
421000,1286000,7758,68
429000,1286000,7759,65
437000,1286000,7760,67
445000,1286000,7761,57
453000,1286000,7762,71
461000,1286000,7763,73
469000,1286000,7764,70
477000,1286000,7765,67
485000,1286000,7766,73
493000,1286000,7767,70
501000,1286000,7768,76
509000,1286000,7769,26
517000,1286000,7770,9
525000,1286000,7771,19
533000,1286000,7772,1
-19000,1278000,7999,52
-11000,1278000,8000,65
-3000,1278000,8001,67
5000,1278000,8002,71
13000,1278000,8003,76
21000,1278000,8004,74
29000,1278000,8005,74
37000,1278000,8006,73
45000,1278000,8007,74
53000,1278000,8008,70
61000,1278000,8009,59
69000,1278000,8010,65
77000,1278000,8011,72
85000,1278000,8012,66
93000,1278000,8013,69
101000,1278000,8014,72
109000,1278000,8015,73
117000,1278000,8016,70
125000,1278000,8017,63
133000,1278000,8018,45
141000,1278000,8019,65
149000,1278000,8020,58
157000,1278000,8021,58
165000,1278000,8022,72
173000,1278000,8023,70
181000,1278000,8024,68
189000,1278000,8025,61
197000,1278000,8026,48
205000,1278000,8027,57
213000,1278000,8028,68
221000,1278000,8029,61
229000,1278000,8030,67
237000,1278000,8031,69
245000,1278000,8032,65
253000,1278000,8033,73
261000,1278000,8034,66
269000,1278000,8035,60
277000,1278000,8036,74
285000,1278000,8037,84
293000,1278000,8038,76
301000,1278000,8039,78
309000,1278000,8040,61
317000,1278000,8041,73
325000,1278000,8042,82
333000,1278000,8043,74
341000,1278000,8044,70
349000,1278000,8045,60
357000,1278000,8046,65
365000,1278000,8047,62
373000,1278000,8048,73
381000,1278000,8049,72
389000,1278000,8050,72
397000,1278000,8051,71
405000,1278000,8052,72
413000,1278000,8053,66
421000,1278000,8054,68
429000,1278000,8055,72
437000,1278000,8056,70
445000,1278000,8057,68
453000,1278000,8058,73
461000,1278000,8059,68
469000,1278000,8060,70
477000,1278000,8061,73
485000,1278000,8062,72
493000,1278000,8063,70
501000,1278000,8064,61
509000,1278000,8065,18
-19000,1270000,8295,68
-11000,1270000,8296,67
-3000,1270000,8297,71
5000,1270000,8298,78
13000,1270000,8299,75
21000,1270000,8300,73
29000,1270000,8301,69
37000,1270000,8302,71
45000,1270000,8303,69
53000,1270000,8304,72
61000,1270000,8305,63
69000,1270000,8306,68
77000,1270000,8307,73
85000,1270000,8308,62
93000,1270000,8309,60
101000,1270000,8310,79
109000,1270000,8311,77
117000,1270000,8312,72
125000,1270000,8313,66
133000,1270000,8314,73
141000,1270000,8315,55
149000,1270000,8316,47
157000,1270000,8317,49
165000,1270000,8318,70
173000,1270000,8319,40
181000,1270000,8320,21
189000,1270000,8321,56
197000,1270000,8322,51
205000,1270000,8323,40
213000,1270000,8324,74
221000,1270000,8325,53
229000,1270000,8326,61
237000,1270000,8327,63
245000,1270000,8328,71
253000,1270000,8329,70
261000,1270000,8330,75
269000,1270000,8331,67
277000,1270000,8332,66
285000,1270000,8333,77
293000,1270000,8334,70
301000,1270000,8335,68
309000,1270000,8336,74
317000,1270000,8337,71
325000,1270000,8338,76
333000,1270000,8339,75
341000,1270000,8340,72
