"x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
261000,1326000,6258,2,32,22,30,0
269000,1326000,6259,6,20,9,24,0
277000,1326000,6260,8,34,10,41,0
285000,1326000,6261,3,31,7,54,0
293000,1326000,6262,11,26,10,44,0
301000,1326000,6263,3,30,2,54,0
309000,1326000,6264,1,41,4,50,0
317000,1326000,6265,5,22,7,58,0
325000,1326000,6266,1,28,10,52,0
333000,1326000,6267,1,34,12,53,0
341000,1326000,6268,6,16,7,61,0
349000,1326000,6269,9,16,13,53,0
357000,1326000,6270,4,20,6,52,0
365000,1326000,6271,2,7,7,29,0
373000,1326000,6272,2,3,0,7,0
429000,1326000,6279,0,0,0,1,0
437000,1326000,6280,0,1,1,6,0
-19000,1318000,6519,20,6,0,0,0
-11000,1318000,6520,63,0,0,0,0
-3000,1318000,6521,68,0,0,0,0
5000,1318000,6522,71,0,0,0,0
13000,1318000,6523,72,0,0,0,0
21000,1318000,6524,67,0,0,0,0
29000,1318000,6525,60,2,0,0,0
37000,1318000,6526,59,13,0,0,0
45000,1318000,6527,69,6,0,0,0
53000,1318000,6528,69,5,0,0,0
61000,1318000,6529,59,13,0,0,0
69000,1318000,6530,19,37,2,0,0
77000,1318000,6531,16,25,19,3,0
85000,1318000,6532,14,41,8,3,0
93000,1318000,6533,11,34,23,6,0
101000,1318000,6534,1,22,37,20,0
109000,1318000,6535,1,33,10,34,0
117000,1318000,6536,0,36,5,30,0
125000,1318000,6537,1,18,4,50,0
133000,1318000,6538,3,33,3,34,0
141000,1318000,6539,1,22,10,36,0
149000,1318000,6540,2,29,21,49,0
157000,1318000,6541,0,36,18,46,0
165000,1318000,6542,0,34,19,58,0
173000,1318000,6543,0,21,21,57,0
181000,1318000,6544,0,27,23,45,0
189000,1318000,6545,0,36,17,53,0
197000,1318000,6546,0,11,33,49,0
205000,1318000,6547,0,15,26,49,0
213000,1318000,6548,0,23,33,36,0
221000,1318000,6549,0,19,44,34,0
229000,1318000,6550,0,22,29,40,0
237000,1318000,6551,0,14,24,47,0
245000,1318000,6552,0,5,46,32,0
253000,1318000,6553,1,31,26,44,0
261000,1318000,6554,2,62,13,15,0
269000,1318000,6555,6,43,14,25,0
277000,1318000,6556,6,43,6,24,0
285000,1318000,6557,1,25,7,22,0
293000,1318000,6558,4,44,4,35,0
301000,1318000,6559,7,32,7,46,0
309000,1318000,6560,3,34,8,50,0
317000,1318000,6561,5,27,9,51,0
325000,1318000,6562,4,25,10,47,0
333000,1318000,6563,0,25,14,62,0
341000,1318000,6564,0,16,15,62,0
349000,1318000,6565,7,8,12,55,0
357000,1318000,6566,1,18,14,53,0
365000,1318000,6567,6,9,11,61,0
373000,1318000,6568,0,7,4,28,0
413000,1318000,6573,1,3,0,8,0
421000,1318000,6574,5,27,5,20,0
429000,1318000,6575,0,19,7,35,0
437000,1318000,6576,0,8,6,24,0
-19000,1310000,6815,17,4,0,0,0
-11000,1310000,6816,48,1,0,0,0
-3000,1310000,6817,37,0,0,0,0
5000,1310000,6818,70,0,0,0,0
13000,1310000,6819,76,0,0,0,0
21000,1310000,6820,69,0,0,0,0
29000,1310000,6821,38,23,0,0,0
37000,1310000,6822,8,53,0,0,0
45000,1310000,6823,19,41,1,0,0
53000,1310000,6824,18,43,2,0,0
61000,1310000,6825,9,55,1,0,0
69000,1310000,6826,13,59,2,0,0
77000,1310000,6827,11,59,7,1,0
85000,1310000,6828,4,51,12,5,0
93000,1310000,6829,1,53,13,14,0
101000,1310000,6830,2,41,9,27,0
109000,1310000,6831,2,28,12,42,0
117000,1310000,6832,0,35,16,38,0
125000,1310000,6833,1,40,15,27,0
133000,1310000,6834,0,51,7,46,0
141000,1310000,6835,0,36,16,44,0
149000,1310000,6836,0,32,16,58,0
157000,1310000,6837,0,31,23,43,0
165000,1310000,6838,2,22,27,54,0
