"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
37000,1430000,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05294124312647,0,0,5.66295326276258,0,0,0,0,0,0,0
45000,1430000,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642285316244796,0,0,1.36388491331442,0,0,0,0,0,0,0
53000,1430000,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572441242728939,0,0,1.27998341198274,0,0,0,0,0,0,0
61000,1430000,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162041048531257,0,0,2.59636720826301,0,0,0.141943662688457,0,0,0,0
69000,1430000,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462112852264572,0,0,2.2623027435133,0,0,0,0,0,0,0
77000,1430000,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228803824719393,0,0,2.54169899338427,0.0399739462916491,0,0.725216438023102,0,0,0,0
85000,1430000,2388,0,0.840529118041164,0,0,1.02692913303124,0,0,0,0,0,3.55649774728457,0,0,0,0,0,2.25723771982568,0,0.962219483593108,0,0,8.47463587599941,1.02692913303124,0,31.223216417423,0,0,0,0
93000,1430000,2389,0,0.00613377543920501,0,0,0.268089641034858,0,0,0,0,0,1.89336419119779,0,0,0,0,0,0,0,0,0,0.166112263810611,36.1765319888778,9.39119668797411,0,49.4017308355931,0,0,0,0
101000,1430000,2390,0,10.991582099004,0,0,2.72708325101539,0,0,8.34561973769998,0,0,7.05085928572831,11.0774751051158,0,0,0,0,0,0,0.358415543571578,0,0,40.8308442541472,46.892143742028,0,91.6880118953647,0,0,0,0
109000,1430000,2391,0,16.698303025317,0,0,0.482669598835642,0,0,6.05632544463749,0,0,0.26119181550821,0.0285079192562154,0,0,0,0,0,0,12.5612144361464,0,0,39.9429567076887,4.8885245896988,0,113.282594868728,0,0,0,0
117000,1430000,2392,0,7.2771977624314,0,0,3.34529092719425,0,0,0.33695107747751,0,0,1.97551762766412,0,0,0,0,0,0,0,0,0,0,40.2904538670156,2.9634956573654,0,18.0271813707877,0,0,0,0
125000,1430000,2393,0.236355525429212,22.5910705334002,0,0,11.7101599118238,0,0,1.43323273940368,0,0,1.57922119605551,7.00471602258279,0,0,0,0,0,0,0,0,3.63878826433441,40.259119684097,37.8380720730287,0,78.4834085175578,0,0,0,0
133000,1430000,2394,0,13.4242968821158,0,0,17.700790230119,0,0,19.5723189678259,0,0,1.71549849219127,0.39312087516734,0,0,0,0,0,0,0.790900872195951,0,5.02894140111442,141.935070888301,47.7627347052174,0,29.7329562214352,0,0,0,1.5064686507812
141000,1430000,2395,0,0.857849088049812,0,0,9.25751761595695,0,0,38.9138773978966,0,0,0,6.2707318776405,0,0,0,0,0,0,0,0,0,8.4215675813727,62.1705508006898,0,170.904004164911,0,0,0,0
149000,1430000,2396,0,0.0146401769443522,0,0,10.1604239247253,0,0,42.4564589982279,0,0,0.00768267210082809,15.8447877508431,0,0,0,0,0,0,0,0,1.00225245188943,16.3588907745987,86.7384142060173,0,87.2574998787273,0,0,0,0.0238627274750925
157000,1430000,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.853383926904,0,0,3.98880519274126,0,0,0,17.9155693378808
-19000,1422000,2671,0,0,4.33819446715385,0,0,0,0,0,0,0,3.75645447993759,0,0,0,0,0,0,0,6.20136389805675,0,0,13.9943727679774,0,0,0,0,0,0,0
-11000,1422000,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1422000,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1422000,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,1422000,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692933521945601,0,0,0.948881168103303,0,0,0,0,0,0,0
21000,1422000,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231295736422091,0,0,5.86672182047468,0,0,0,0,0,0,0
29000,1422000,2677,0,0,0,0,0,0,0,0,0,0,0.223578169365197,0,0,0,0,0,0,0,0.818253137120764,0,0,10.8034491552733,0,0,0,0,0,0,0
37000,1422000,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923533322825975,0,0,24.7788674210785,0,0,0,0,0,0,0
45000,1422000,2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66929452683518,0,0,8.46762750076712,0,0,0,0,0,0,0
53000,1422000,2680,0,0.0189347594565227,0,0,0,0,0,0,0,0,0.0286588317362965,0,0,0,0,0,0,0,0.865096518460896,0,0,6.88314228310394,0,0,0,0,0,0,0
61000,1422000,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33773065039573,0,0,8.43736685996966,0,0,0.0295118301430139,0,0,0,0
69000,1422000,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27860543417111,0,0,3.25764295167508,0,0,0,0,0,0,0
77000,1422000,2683,0,0,0,0,0.248534512912237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9300560836785,0,0,1.53061813745511,0,0,0,0
85000,1422000,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2986731799425,2.2839584237013,0,2.16338273928704,0,0,0,0
93000,1422000,2685,0,4.71777141591139,0.0840013141695647,0,1.0839537972294,0,0,0,0,0,0.168169478174598,3.2374436476719,0,0,0,0,0,0,4.1918327522428,0,0,18.9527687313238,4.6489965858937,0,31.7895300791066,0,0,0,0
101000,1422000,2686,0,6.53141332202447,0,0,0.127944818968673,0,0,6.28884340132348,0,0,0.0972211576144244,0.55308713908984,0,0,0,0,0,0,0,0,0,11.5829004033704,12.0568921549509,0,75.9266917648636,0,0,0,0
109000,1422000,2687,0,0,0,0,0,0,0,8.00126946234298,0,0,0,0,0,0,0,0,0,0,0,0,6.3156253266693,1.54659033525367,3.11596508273268,0,53.9761024622804,0,0,0,0
117000,1422000,2688,0,2.65661493441423,0,0,0,0,0,2.5082332795212,0,0,0,0,0,0,0,0,0,0,0.0658402875218775,0,5.0842323676586,6.45694120650941,6.90802178159991,0,44.0610553482798,0,0,0,0
125000,1422000,2689,0,0.281628732586264,0,0,4.0530392685399,0,0,0,0,0,0,1.92467021130602,0,0,0,0,0,0,0,0,12.1758083711775,27.2754784831214,89.5331923537121,0,62.3247120680441,0,0,0,0
133000,1422000,2690,0,8.58424519837777,0,0,31.9770928451133,0,0,8.73154083939915,0,0,18.7960448495243,1.92132219682774,0,0,0,0,0,0,0,0,39.7439437374871,94.4461216027269,47.148173995313,0,68.7480566634789,0,0,0,0
141000,1422000,2691,0,14.7591249763181,0,0,6.28006218432973,0,0,25.6872127408101,0,0,0,3.8107396769793,0,0,0,0,0,0,0,0,49.7506871997287,13.2641928908539,30.455241800942,0,134.147313133717,0,0,0,0
149000,1422000,2692,0,0,0,0,0,0,0,34.4634963023132,0,0,0,0.224573612160168,0,0,0,0,0,0,0,0,1.7735835588915,6.56620920841719,30.385628951562,0,215.915113279543,0,0,0,0.172068055160247
157000,1422000,2693,0.700333750425373,12.4791265652895,0,0,3.44563292892116,0,0,50.7343715751195,0,0,0,0.129577472450836,0,0,0,0,0.446049584599272,0,0,0,0,12.2773531474201,32.6308597017532,0,140.191476252793,0,0,0,0.738004526499203
165000,1422000,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648876049379694,0.268089143039428,0,0,60.2667096332233,0,0,0,53.2377177149891
-19000,1414000,2967,0,0.137812427890544,0,0,0,0,0,0,0,0,0.25549842279425,0,0,0,0,0,0,0,1.41989268513664,0,0,0.0953661619233653,0,0,0,0,0,0,0
-11000,1414000,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1414000,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1414000,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,1414000,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416388302222157,0,0,0,0,0,0,0
21000,1414000,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29000,1414000,2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130964281791884,0,0,3.77285374867068,0,0,0,0,0,0,0
37000,1414000,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000272835214634203,0,0,0.283706417950482,0,0,0,0,0,0,0
45000,1414000,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11621481059789,0,0,0,0,0,0,0
